PCA Components,Model,Top-5 Accuracy,Accuracy,MCC,F1 Score,Precision,Recall
18,MLPClassifier,0.9163141438293176,0.6082398381460364,0.6059974692219895,0.6051673702851513,0.6242914622704027,0.6082398381460364
18,DecisionTree,0.4347986021703145,0.41640610630862607,0.4129108554222769,0.41821351125547446,0.4276729350790665,0.41640610630862607
18,KNN,0.7428729078535957,0.4513518484458341,0.44816967299073174,0.4453556226187084,0.46045868821840735,0.4513518484458341
18,NaiveBayes,0.6913739194408681,0.33235240022070994,0.3289872581888504,0.2960970850645863,0.3199268798262357,0.33235240022070994
19,RandomForest,0.8710686040095641,0.5576604745263932,0.5550598428863237,0.5513994646018892,0.5622320072456832,0.5576604745263932
19,ExtraTrees,0.8649990803752069,0.550119551223101,0.5474889001079228,0.5418443865236627,0.5523789209023287,0.550119551223101
19,LogisticRegression,0.837962111458525,0.46018024645944455,0.45703884995294103,0.444310319587793,0.4513519437383496,0.46018024645944455
19,SVM,0.8881736251609343,0.5217951075961008,0.5191632239349679,0.5060444472795749,0.5298182476935317,0.5217951075961008
19,XGBoost,0.842560235423947,0.5162773588375943,0.5133791139733266,0.5140882260496485,0.5214758764089995,0.5162773588375943
19,MLPClassifier,0.922199742505058,0.6194592606216663,0.6172911070253935,0.6153581310179917,0.6304085146032613,0.6194592606216663
19,DecisionTree,0.43976457605297037,0.42229170498436636,0.41884186997202333,0.42333170430278655,0.431449327735434,0.42229170498436636
19,KNN,0.7467353319845503,0.4550303476181718,0.4518638064603639,0.4486557187301354,0.46273672345502914,0.4550303476181718
19,NaiveBayes,0.6917417693581019,0.33363987493102815,0.33027393062105126,0.2992426611578272,0.32500537228920406,0.33363987493102815
20,RandomForest,0.8677579547544602,0.5672245723744712,0.5646712833074466,0.5602449136952473,0.5693365432624462,0.5672245723744712
20,ExtraTrees,0.8620562810373368,0.5499356262644841,0.5472996430419801,0.5427746368646147,0.5531208580018836,0.5499356262644841
20,LogisticRegression,0.8464226595549016,0.4754460180246459,0.47240898993459685,0.46121988492324933,0.47011772408293145,0.4754460180246459
20,SVM,0.8911164244988045,0.5291521059407762,0.526561856678764,0.5140059788410262,0.5380594566449614,0.5291521059407762
20,XGBoost,0.8436637851756483,0.5245539819753541,0.5216956438322558,0.5236548579757306,0.5312556578807168,0.5245539819753541
20,MLPClassifier,0.928453191098032,0.6321500827662314,0.6300644018698369,0.6266948255655787,0.6443447265151655,0.6321500827662314
20,DecisionTree,0.44454662497700936,0.4268898289497885,0.4234647953003354,0.42720923906447283,0.435069707748706,0.4268898289497885
20,KNN,0.7494942063638036,0.46018024645944455,0.45704707215834023,0.4545175015065551,0.4692114015738384,0.46018024645944455
20,NaiveBayes,0.6937649439028877,0.33842192385506714,0.3350758872075478,0.3050573900741755,0.33139531035887115,0.33842192385506714
21,RandomForest,0.8697811292992459,0.5670406474158544,0.5644911164242562,0.5596266235140517,0.5687930388119429,0.5670406474158544
21,ExtraTrees,0.8611366562442524,0.5547176751885231,0.552111420961942,0.5478035150031337,0.5592353458109252,0.5547176751885231
21,LogisticRegression,0.8484458340996873,0.47654956777634727,0.4735100146516259,0.46176186466207686,0.46958911259090064,0.47654956777634727
21,SVM,0.8931395990435902,0.5298878057752437,0.5272975971568853,0.5141934085270763,0.5370619910327229,0.5298878057752437
21,XGBoost,0.8486297590583042,0.5160934338789773,0.5131913728182025,0.5143261739877055,0.521478667982038,0.5160934338789773
21,MLPClassifier,0.9258782416773956,0.6396910060695237,0.6376311307429302,0.6349563492062508,0.6498583759730829,0.6396910060695237
21,DecisionTree,0.44399485010115874,0.42652197903255473,0.4230997648171891,0.4276305530152206,0.43648282872558203,0.42652197903255473
21,KNN,0.7522530807430569,0.4656979952179511,0.46260188533086916,0.45955945816664273,0.47393854413670267,0.4656979952179511
21,NaiveBayes,0.6913739194408681,0.34026117344123596,0.33691300189172096,0.306124154217485,0.3291896049492541,0.34026117344123596
